Product SKU,Product Name,Category,Purchase Date,Unit Price,Quantity
SKU-001,Laptop Dell XPS 15,Electronics,2026-01-10,1299.99,10
SKU-002,Wireless Mouse,Accessories,2026-01-13,29.99,50
SKU-003,Mechanical Keyboard,Accessories,2026-01-11,149.99,25
SKU-004,USB-C Cable,Accessories,2026-01-17,19.99,100
SKU-005,Monitor LG 27 inch,Electronics,2026-01-12,299.99,15
SKU-006,Desk Chair Ergonomic,Furniture,2026-01-14,249.99,20
SKU-007,Standing Desk,Furniture,2026-01-10,599.99,8
SKU-008,Webcam HD 1080p,Electronics,2026-01-16,79.99,30
SKU-009,Headphones Wireless,Audio,2026-01-15,199.99,40
SKU-010,USB Hub 4-Port,Accessories,2026-01-11,24.99,60
SKU-011,Laptop Stand,Accessories,2026-01-17,39.99,45
SKU-012,External SSD 1TB,Storage,2026-01-13,129.99,35
SKU-013,Desk Lamp LED,Furniture,2026-01-12,49.99,25
SKU-014,Tablet Stand Adjustable,Accessories,2026-01-16,34.99,55
SKU-015,Smartphone Case,Accessories,2026-01-14,14.99,80

